Ticker,Trades,TotalPnL,WinRate,AvgActualReturn,AvgPredictedReturn
PLTR,5,5497.7056,0.4,0.03352587,0.053095859999999995
KLAC,19,3325.9029,0.5789473684210527,0.009654392105263157,0.03617659105263158
BX,4,2782.9897,1.0,0.024416269999999997,0.0362238525
LRCX,18,2037.7761,0.3333333333333333,0.005596643333333334,0.083516665
UBER,12,1739.6952,0.6666666666666666,0.006159835833333333,0.037992745833333334
GILD,3,1135.513,1.0,0.012963616666666669,0.03202183333333333
IBM,2,1099.2821999999999,1.0,0.019454819999999998,0.031072515
CRM,6,964.7221000000001,0.6666666666666666,0.004305936666666667,0.03595267666666667
UNH,6,886.0177999999999,0.5,0.005858503333333333,0.03830818833333333
AMZN,4,816.6881,0.75,0.009983155,0.0277747675
ORCL,4,658.3922,0.75,0.006567775,0.025469625
BAC,2,566.5644,1.0,0.012220055,0.025788625000000003
AXP,2,496.44939999999997,1.0,0.011579305,0.03110625
LOW,1,484.8382,1.0,0.01524143,0.02704553
INTC,18,479.5743,0.4444444444444444,0.0021338705555555546,0.13109837444444444
LLY,11,446.8611000000001,0.45454545454545453,0.005322610909090909,0.03919103545454545
COP,5,418.65910000000014,0.4,0.004264071999999999,0.028228298000000002
BMY,1,374.1024,1.0,0.01282589,0.02669052
CVX,4,370.28690000000006,0.75,0.00395563,0.031208312499999998
QCOM,10,363.7052,0.4,0.004801812,0.038551435
SCHW,5,337.2106,0.4,0.0035620060000000004,0.03456442
GOOGL,2,311.031,1.0,0.009816365,0.035317285000000004
ABBV,7,219.96450000000004,0.5714285714285714,0.0022704699999999997,0.027060129999999998
SYK,1,217.1673,1.0,0.00904161,0.0224028
DE,1,188.3132,1.0,0.00886124,0.01964393
PANW,14,183.9262000000001,0.6428571428571429,0.002662247857142857,0.038549937857142856
PEP,2,169.8653,1.0,0.004692875,0.025656659999999998
TXN,3,156.31410000000005,0.6666666666666666,0.004070166666666667,0.03273085333333333
VZ,1,153.2173,1.0,0.00691649,0.02998619
RTX,1,128.4693,1.0,0.00639587,0.02102452
AMAT,14,123.17550000000034,0.42857142857142855,0.002063916428571428,0.030376570714285712
AMGN,1,84.2958,1.0,0.00426882,0.04063684
CMCSA,1,79.0806,1.0,0.00455348,0.03065148
BA,10,49.30269999999996,0.5,0.0015415220000000005,0.032508928
TJX,2,43.1235,0.5,0.002381065,0.024620700000000002
JPM,1,33.1748,1.0,0.00253819,0.04924376
AAPL,1,-2.8796,0.0,0.0014988,0.02578725
PG,1,-8.2608,0.0,0.00128938,0.0339648
WMT,1,-9.8126,0.0,0.0013152,0.03897776
PGR,1,-67.9075,0.0,-0.00087526,0.02076605
NFLX,1,-68.2769,0.0,-0.00096918,0.03275076
META,3,-72.40320000000003,0.3333333333333333,0.0015050733333333334,0.03242155
MCD,1,-97.0731,0.0,-0.00172588,0.03072377
UNP,1,-102.2829,0.0,-0.00200839,0.02314053
DHR,4,-128.9384,0.25,0.0013444824999999999,0.028836
ADI,5,-181.50819999999987,0.4,-0.0007513499999999999,0.03216944
PLD,2,-195.59769999999997,0.5,0.00013862000000000076,0.029395245
TMO,2,-199.37170000000003,0.5,-0.0017149099999999996,0.029311999999999998
GE,2,-203.6072,0.0,-0.00154637,0.03438183
VRTX,1,-211.983,0.0,-0.00537395,0.0261582
SPGI,2,-229.89360000000005,0.5,-0.0022164600000000004,0.02629732
CAT,6,-331.6621,0.5,-0.00033048666666666654,0.03543138166666667
MRK,3,-334.1278,0.3333333333333333,-0.0018393199999999995,0.03041149
ISRG,1,-337.449,0.0,-0.00791143,0.04296877
ICE,1,-373.6814,0.0,-0.01305052,0.02308396
GS,1,-394.8708,0.0,-0.01124145,0.0395386
NVDA,7,-428.45290000000006,0.5714285714285714,-0.005651155714285714,0.03669037142857142
ETN,1,-455.1918,0.0,-0.01056184,0.04042491
HON,5,-475.8882,0.4,-0.00283557,0.028626121999999997
C,2,-537.4551,0.5,-0.00618954,0.029999675000000003
MSFT,2,-541.5304,0.0,-0.007258175,0.021911359999999998
MS,7,-624.5275,0.42857142857142855,-0.0007415628571428571,0.04740061
PM,1,-644.4979,0.0,-0.01655034,0.04565937
DIS,4,-734.2115,0.25,-0.002761395,0.053440295
SBUX,9,-744.7923000000001,0.3333333333333333,-0.0011451788888888889,0.03573718
NEE,1,-756.6898,0.0,-0.02397466,0.02428356
MDT,3,-828.9908,0.0,-0.00811924,0.025209206666666668
AVGO,13,-1266.5351,0.5384615384615384,-2.325615384615451e-05,0.03704339384615385
ADBE,6,-1309.4968999999999,0.5,-0.0035474966666666657,0.032177823333333334
INTU,4,-1532.2535,0.5,-0.012818765,0.02982201
MU,23,-1820.9167999999997,0.4782608695652174,0.00013366869565217368,0.09478404217391305
WFC,9,-1836.7774000000002,0.3333333333333333,-0.00447681,0.03791400777777778
NOW,10,-1868.0246,0.5,-0.004186218,0.033334679
AMD,16,-3771.5875,0.3125,-0.006347006875,0.094305345625
ANET,5,-4429.0747,0.4,-0.026224132,0.031234308
TSLA,7,-4469.5683,0.2857142857142857,-0.01853781428571429,0.08122973714285715
